"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-tiw56r54_150",150,"ILS",100.550915,953538,104,0.485706413745888
"N-tiw56r58_150",150,"ILS",100.280067,1208645,105,0.87345556243567
"N-tiw56r66_150",150,"ILS",100.533578,1928426,105,0.635268233239126
"N-tiw56r67_150",150,"ILS",100.339595,2043766,101,0.611813084075791
"N-tiw56r72_150",150,"ILS",101.178692,2809650,73,0.499617885102052
"N-be75eec_150",150,"ILS",175.611475,3471217,179,0.333378507350923
"N-be75np_150",150,"ILS",175.011486,7149855,120,0.341077383586609
"N-be75oi_150",150,"ILS",175.471437,2241639,120,0.217891204851562
"N-be75tot_150",150,"ILS",175.650771,12168338,177,0.97145057251121
"N-stabu1_150",150,"ILS",175.450176,2860081,175,0.544244039430656
"N-stabu2_150",150,"ILS",176.184883,4321804,119,0.1325002807601
"N-stabu3_150",150,"ILS",175.201059,4494114,123,0.362070704775249
"N-t59b11xx_150",150,"ILS",175.972269,3205120,142,1.06280193236715
"N-t59d11xx_150",150,"ILS",176.128705,1456405,118,0.430164278726216
"N-t59f11xx_150",150,"ILS",176.275713,1532274,121,0.742291575032729
"N-t59n11xx_150",150,"ILS",175.805287,316773,119,0.685665914221219
"N-t65b11xx_150",150,"ILS",176.057413,6414805,114,0.604772107627154
"N-t65d11xx_150",150,"ILS",175.51008,3548482,109,0.305252620775665
"N-t65f11xx_150",150,"ILS",175.597542,3140547,122,0.594398931924088
"N-t65l11xx_150",150,"ILS",175.207037,252349,114,0.413187264203066
"N-t65n11xx_150",150,"ILS",175.295995,548087,110,0.480450599473792
"N-t69r11xx_150",150,"ILS",175.122067,11797684,115,0.491508192885652
"N-t70b11xx_150",150,"ILS",175.939513,9605709,137,0.430382651847489
"N-t70d11xn_150",150,"ILS",175.792915,5815840,171,0.159772791999927
"N-t70d11xx_150",150,"ILS",175.015456,6128555,171,0.738932372859999
"N-t70f11xx_150",150,"ILS",175.870088,5120326,189,0.578066782043134
"N-t70l11xx_150",150,"ILS",175.728351,435232,194,0.373115537629732
"N-t70n11xx_150",150,"ILS",175.416148,945940,181,0.313305856279764
"N-t74d11xx_150",150,"ILS",175.349201,9354781,185,0.439152903072825
"N-t75d11xx_150",150,"ILS",175.820661,9579523,184,0.649409778327218
"N-t75e11xx_150",150,"ILS",175.090645,41265069,181,0.733997073335695
"N-t75k11xx_150",150,"ILS",175.788608,1535628,173,0.387131258773375
"N-t75n11xx_150",150,"ILS",176.235579,1738622,147,0.256555297648893
"N-tiw56n54_150",150,"ILS",176.351669,833201,117,0.566146942818443
"N-tiw56n58_150",150,"ILS",176.795538,1149447,114,0.514543981609705
"N-tiw56n62_150",150,"ILS",175.756005,1617834,121,0.558539720121629
"N-tiw56n66_150",150,"ILS",175.314504,2097417,123,0.484053332219913
"N-tiw56n67_150",150,"ILS",176.165028,2367779,119,0.21690520479779
"N-tiw56n72_150",150,"ILS",175.109738,4122655,125,0.320413394208332
"N-tiw56r54_150",150,"ILS",175.869856,953534,133,0.486123866615459
"N-tiw56r58_150",150,"ILS",175.768207,1208982,148,0.845816639943574
"N-tiw56r66_150",150,"ILS",175.263873,1931226,135,0.490994484105413
"N-tiw56r67_150",150,"ILS",175.132078,2043564,127,0.621636328888072
"N-tiw56r72_150",150,"ILS",176.503785,2811103,129,0.448161634247694
"N-be75eec_150",150,"memetic",1002.690854,3472245,113,0.303862263654708
"N-be75eec_150",150,"ILS",1000.334944,3473315,1016,0.273140103387247
